case_name,url,date,case_type,matter_number,case_status,summary,tags,long_title,statutes,penalty_usd
"Support King, LLC (SpyFone.com), In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/192-3003-support-king-llc-spyfonecom-matter,2025-12-08,Administrative,1923003,Pending,"The FTC approved a proposed order banning SpyFone and its CEO Scott Zuckerman from the surveillance business over allegations that the stalkerware app company secretly harvested and shared data on people’s physical movements, phone use, and online activities through a hidden device hack. The FTC denied a petition to vacate or modify the FTC’s 2021 order.",Consumer Protection; Bureau of Consumer Protection; deceptive/misleading conduct; spyware and malware; Technology; Mobile; Privacy and Security; Consumer Privacy; Data Security; Tech,"In the Matter of Support King, LLC, a limited liability company, also d/b/a SpyFone.com; and Scott Zuckerman, individually and as an officer of Support King, LLC.",,
Apitor,https://www.ftc.gov/legal-library/browse/cases-proceedings/apitor,2025-10-01,Federal,,Under Order,The FTC reached a settlement with Apitor Technology over allegations that its app enabled a third party in China to collect geolocation information from children without parental consent.,Consumer Protection; Regional Offices; Bureau of Consumer Protection; Western Region San Francisco; Children's Online Privacy Protection Act (COPPA); Privacy and Security; Children's Privacy; Tech; Social Media,"United States of America, Plaintiff, v. Apitor Technology Co., Ltd., a corporation, Defendant.",COPPA,
"Iconic Hearts Holdings, Inc., U.S. v.",https://www.ftc.gov/legal-library/browse/cases-proceedings/232-3029-iconic-hearts-holdings-inc-us-v,2025-09-29,Federal,2323029,Pending,"The FTC is taking action against the operator of the Sendit anonymous messaging app for unlawfully collecting personal data from children, misleading users by sending messages from fake “people,” and tricking consumers into purchasing paid subscriptions by falsely promising to reveal the senders of anonymous messages.",Consumer Protection; Bureau of Consumer Protection; Children's Online Privacy Protection Act (COPPA); Privacy and Security; Children's Privacy,"UNITED STATES OF AMERICA, Plaintiff v. ICONIC HEARTS HOLDINGS, INC., a corporation; and HUNTER RICE, individually and as an officer of ICONIC HEARTS HOLDINGS, INC.",COPPA,
Pornhub/Mindgeek/Aylo,https://www.ftc.gov/legal-library/browse/cases-proceedings/pornhubmindgeekaylo,2025-09-03,Administrative,,Pending,The FTC and the state of Utah announced a settlement with the operators of Pornhub and other pornography-streaming sites over charges they deceived users by doing little to block tens of thousands of videos and photos featuring child sexual abuse material (CSAM) and nonconsensual material (NCM) despite claiming that this content was “strictly prohibited.”,Consumer Protection; Bureau of Consumer Protection; Entertainment; Privacy and Security; Consumer Privacy,"Federal Trade Commission, and Utah Division of Consumer Protection, Plaintiffs, v. Aylo Group Ltd., a Cypriot corporation, DonorMass Limited, a Cypriot corporation, Aylo Freesites Ltd., a Cypriot corporation, Aylo Premium Ltd., a Cypriot corporation, Aylo Technologies Ltd., a Cypriot corporation, 9279-2738 Quebec Inc., a Canadian corporation, 9219-1568 Quebec Inc., a Canadian corporation, Aylo Holdings USA Corp., a Delaware corporation, Aylo Billing US Corp., a Delaware corporation, Toqon, LLC, a Delaware limited liability company, Aylo Global Entertainment Inc., a Delaware corporation, Aylo USA Incorporated, a Delaware corporation, FTSA, LLC, a Delaware limited liability company, and Aylo Billing limited, an Irish corporation, Defendants.",,
"Roca Labs, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/142-3255-x150061-roca-labs-inc,2025-07-09,Federal,1423255,,"The FTC took action against the Florida-based marketers of a line of weight-loss supplements who allegedly made baseless claims for their products, and then threatened to enforce “gag clause” provisions against consumers to stop them from posting negative reviews and testimonials online. In September 2018, a federal district court ruled in the FTC’s favor, issuing a summary judgment against the defendants, and in July 2025 the Commission announced it was returning more than $409,000 to defrauded consumers.","Consumer Protection; Bureau of Consumer Protection; Advertising and Marketing; Endorsements, Influencers, and Reviews; Health Claims; Advertising and Marketing Basics; Privacy and Security; Consumer Privacy","Federal Trade Commission, Plaintiff, v. Roca Labs, Inc., a corporation; Roca Labs Nutraceutical USA, Inc., a corporation; Don Juravin; and George Whiting, Defendants.",,409000.0
"GoDaddy Inc., et al., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/2023133-godaddy-inc-et-al-matter,2025-05-21,Administrative,2023133,Pending,Case settles charges that GoDaddy misled customers about the extent of its data security protections and failed to secure its website hosting services against attacks that could harm its customers and visitors to the customers’ websites.,Consumer Protection; Bureau of Consumer Protection; Technology; Privacy and Security; Consumer Privacy; Tech,"In the Matter of GoDaddy Inc., a corporation, and GoDaddy.com, LLC, a limited liability company.",,
"Facebook, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/092-3184-182-3109-c-4365-facebook-inc-matter,2025-05-02,Administrative,0923184,,The FTC alleged that Facebook violated its privacy promises to consumers and subsequently violated a 2012 Commission order.,Consumer Protection; Office of Technology Research and Investigation (OTech); Privacy and Security; Consumer Privacy; U.S.-EU Safe Harbor Framework; Privacy Shield; Data Privacy Framework,"In the Matter of Facebook, Inc., a corporation",Privacy Shield; Safe Harbor,
Avast,https://www.ftc.gov/legal-library/browse/cases-proceedings/2023033-avast,2025-02-24,Administrative,2023033,Pending,The FTC will require Avast to pay $16.5 million and prohibit the company from selling or licensing any web browsing data for advertising purposes to settle charges that the company and its subsidiaries sold such information to third parties after promising that its products would protect consumers from online tracking. The Federal Trade Commission is sending claim forms to consumers who bought deceptively marketed antivirus software from Avast.,Consumer Protection; Bureau of Consumer Protection; deceptive/misleading conduct; Privacy and Security; Consumer Privacy,"In the Matter of Avast Limited, a United Kingdom Limited Liability Company, Avast Software S.R.O., a Czech Republic Limited Liability Company, and Jumpshot, INC., a Delaware Company.",,16500000.0
Aqua Finance,https://www.ftc.gov/legal-library/browse/cases-proceedings/aqua-finance,2025-02-19,Administrative,,Pending,"A Federal Trade Commission action against household water treatment funding company Aqua Finance, Inc. (AFI) has led to a settlement that will provide $20 million in refunds and an additional $23.6 million in debt forgiveness for consumers harmed by its dealers’ deceptive sales tactics. The FTC’s complaint against AFI charges that the company’s nationwide network of dealers went door-to-door, deceiving consumers about the financing terms for water filtering and softening products. According to the complaint, the bogus claims left consumers with thousands of dollars in unexpected debt and huge interest payments, while its financing terms impaired some consumers’ ability to sell their homes. In February 2025, the Commission more than $19.8 million in refunds to consumers who were harmed by deceptive sales tactics from household water treatment funding company Aqua Finance.",Consumer Protection; Regional Offices; Southwest Region; Bureau of Consumer Protection; Credit & Loan Offers; consumer refunds; Retail; Advertising and Marketing; Credit and Finance; Credit and Loans; Privacy and Security; Credit Reporting,"Federal Trade Commission, Plaintiff, V. Aqua Finance, Inc., a Wisconsin Corporation, Defendant.",FCRA,23600000.0
"Cognosphere, LLC, U.S. v.",https://www.ftc.gov/legal-library/browse/cases-proceedings/222-3152-cognosphere-llc-us-v,2025-01-17,Federal,2223152,,Cognosphere has agreed to pay $20 million and to block children under 16 from making in-game purchases without parental consent to settle FTC allegations the company violated a children’s privacy law and deceived children and other users about the real costs of in-game transactions and odds of obtaining rare prizes.,Consumer Protection; Regional Offices; Bureau of Consumer Protection; Western Region Los Angeles; Children's Online Privacy Protection Act (COPPA); Entertainment; Privacy and Security; Children's Privacy; Consumer Privacy; Gaming,"UNITED STATES OF AMERICA, Plaintiff v. COGNOSPHERE LLC, a limited liability company, and COGNOSPHERE PTE LTD., a private limited company",COPPA,20000000.0
"Snap, Inc., U.S. v.",https://www.ftc.gov/legal-library/browse/cases-proceedings/232-3039-snap-inc-us-v,2025-01-16,Federal,2323039,,,Consumer Protection; Bureau of Consumer Protection; Technology; Mobile; Privacy and Security,"UNITED STATES OF AMERICA, Plaintiff, v. SNAP, INC., a corporation, Defendant.",,
"Mobilewalla, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/202-3196-mobilewalla-inc-matter,2025-01-14,Administrative,2023196,Pending,Finalizing an order prohibiting Mobilewalla from unlawfully tracking and selling sensitive location data from users.,Consumer Protection; Bureau of Consumer Protection; Technology; Privacy and Security; Consumer Privacy,"In the Matter of Mobilewalla, Inc., a corporation",,
"Intellivision, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/232-3023-intellivision-matter,2025-01-13,Administrative,2323023,Pending,"Announcing settlement with IntelliVision Technologies over allegations that the company made false claims about its AI-powered facial recognition software. FTC finalized order against IntelliVision Technologies Corp., settling allegations that the company made false, misleading, or unsubstantiated claims that its AI-powered facial recognition software was free of gender or racial bias.",Consumer Protection; Bureau of Consumer Protection; Technology; Advertising and Marketing; Privacy and Security; Artificial Intelligence,In the Matter of Intellivision Technologies Corp.,,
"Vivint Smart Home, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/192-3060-vivint-smart-home-inc,2024-12-05,Federal,1923060,Pending,"Smart home security and monitoring company Vivint Smart Homes Inc. has agreed to pay $20 million to settle Federal Trade Commission allegations that the Utah-based firm misused credit reports to help unqualified customers obtain financing for the company’s products and services. The FTC is announcing it is sending payments totaling $500,000 to consumers who were harmed by home security company Vivint Smart Homes, Inc., which allegedly misused credit reports to help unqualified customers get financing for the company’s products and services.",Consumer Protection; Bureau of Consumer Protection; Identity Theft; Fair Credit Reporting Act (FCRA); Credit and Finance; Credit and Loans; Privacy and Security; Credit Reporting; Red Flags Rule,"United States of America, Plaintiff v. Vivint Smart Home, Inc., Defendant",FCRA; Red Flags Rule,20000000.0
"Gravy Analytics, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/212-3035-gravy-analytics-inc-matter,2024-12-03,Administrative,2123035,Pending,,Consumer Protection; Bureau of Consumer Protection; Technology; Privacy and Security; Consumer Privacy; Tech,"In the Matter of Gravy Analytics, Inc., a corporation, and Venntel, Inc., a corporation,",,
"Marriott International, Inc. and Starwood Hotels & Resorts Worldwide, LLC, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/192-3022-marriott-international-inc-starwood-hotels-resorts-worldwide-llc-matter,2024-10-09,Administrative,1923022,Pending,"The FTC finalized an order requiring Marriott and Starwood to settle charges they failed to implement reasonable data security, which led to data breaches.",Consumer Protection; Bureau of Consumer Protection; Privacy and Security; Data Security,"In the Matter of MARRIOTT INTERNATIONAL, INC., a corporation, and STARWOOD HOTELS & RESORTS WORLDWIDE, LLC, a limited liability company.",,
"1Health.io/Vitagene, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/1923170-1healthiovitagene-matter,2024-09-09,Administrative,1923170,Pending,"The FTC reached a settlement with 1Health.io over allegations that it left sensitive genetic and health data unsecured, deceived consumers about their ability to get their data deleted and changed its privacy policy retroactively without adequately notifying and obtaining consent from consumers whose data the company had already collected.",Consumer Protection; Bureau of Consumer Protection; Privacy and Security; Consumer Privacy; Data Security; Health Privacy,"In the Matter of 1Health.io Inc., a corporation, also d/b/a Vitagene, Inc.",,
"Verkada Inc., U.S. v.",https://www.ftc.gov/legal-library/browse/cases-proceedings/2123068-verkada-inc-us-v,2024-08-30,Administrative,2123068,Pending,,"Consumer Protection; Bureau of Consumer Protection; Technology; Advertising and Marketing; Endorsements, Influencers, and Reviews; Privacy and Security; Data Security","United States of America, Plaintiff, vs. Verkada Inc., a Corporation, Defendant",,
"ByteDance, LTD., US v.",https://www.ftc.gov/legal-library/browse/cases-proceedings/bytedance-ltd-us-v,2024-08-02,Federal,,Pending,An investigation from the Division of Enforcement and the Division of Privacy and Identity Protection found TikTok/ByteDance violated a 2019 consent order for infringing the Children’s Online Privacy Protection Act. The DOJ is bringing a lawsuit on behalf of FTC for flagrantly violating COPPA and violating the 2019 order.,Consumer Protection; Bureau of Consumer Protection; Children's Online Privacy Protection Act (COPPA); Privacy and Security; Children's Privacy,"UNITED STATES OF AMERICA, Plaintiff, v. BYTEDANCE LTD., a Cayman Islands company; BYTEDANCE INC., a Delaware corporation; TIKTOK LTD., a Cayman Islands company; TIKTOK INC., a California corporation; TIKTOK PTE. LTD., a Singapore company; and TIKTOK U.S. DATA SECURITY INC., a Delaware corporation,",COPPA,
"Monument, Inc., U.S. v.",https://www.ftc.gov/legal-library/browse/cases-proceedings/2323043-monument-inc-us-v,2024-06-07,Federal,2323043,Pending,"The FTC has taken action against an alcohol addiction treatment service for allegedly disclosing users’ personal health data to third-party advertising platforms, including Meta and Google, for advertising without consumer consent, after promising to keep such information confidential.",Consumer Protection; Bureau of Consumer Protection; Privacy and Security; Consumer Privacy; Health Privacy,"United States of America, Plaintiff, v. Monument, Inc., a Delaware limited liability company, Defendant.",,
"Cerebral, Inc. and Kyle Robertson, U.S. v.",https://www.ftc.gov/legal-library/browse/cases-proceedings/222-3067-cerebral-inc-kyle-robertson-us-v,2024-05-31,Federal,2223067,Pending,"Cerebral, Inc. has agreed to an order that, will restrict how the company can use or disclose sensitive consumer data and require it to provide consumers with a simple way to cancel services to settle FTC charges that the telehealth firm failed to secure and protect sensitive health data.",Consumer Protection; Bureau of Consumer Protection; Health Care; Privacy and Security; Consumer Privacy,"United States of America, Plaintiff v. Cerebral, Inc., a corporation and Kyle Robertson, individually, Defendants.",,
"Blackbaud, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/2023181-blackbaud-inc,2024-05-20,Administrative,2023181,Pending,"Blackbaud, Inc. will be required to delete personal data that it doesn’t need to retain as part of a settlement with the FTC over charges that the company’s lax security allowed a hacker to breach the company’s network and access the personal data of millions of consumers including Social Security and bank account numbers.",Consumer Protection; Bureau of Consumer Protection; Privacy and Security; Consumer Privacy; Data Security,"In the Matter of Blackbaud, Inc., a corporation.",,
"BetterHelp, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/2023169-betterhelp-inc-matter,2024-05-06,Federal,2023169,Pending,The Federal Trade Commission has issued a proposed order to settle charges that online counseling service BetterHelp revealed consumers’ sensitive data with third parties such as Facebook and Snapchat for advertising after promising to keep such data private.,Consumer Protection; Bureau of Consumer Protection; Privacy and Security; Consumer Privacy; Health Privacy,"In the Matter of BETTERHELP, INC., a corporation, also d/b/a COMPILE, INC., also d/b/a MYTHERAPIST, also d/b/a TEEN COUNSELING, also d/b/a FAITHFUL COUNSELING, also d/b/a PRIDE COUNSELING, also d/b/a ICOUNSELING, also d/b/a REGAIN, also d/b/a TERAPPEUTA.",,
"InMarket Media, LLC",https://www.ftc.gov/legal-library/browse/cases-proceedings/2023088-inmarket-media-llc,2024-05-01,Administrative,2023088,Pending,InMarket Media will be prohibited from selling or licensing any precise location data to settle Federal Trade Commission charges that the company did not fully inform consumers and obtain their consent before collecting and using their location data for advertising and marketing.,Consumer Protection; Bureau of Consumer Protection; Advertising and Marketing; Online Advertising and Marketing; Privacy and Security; Consumer Privacy,"In the Matter of InMarket Media, LLC, a Limited Liability Company",,
"Ring, LLC",https://www.ftc.gov/legal-library/browse/cases-proceedings/2023113-ring-llc,2024-04-23,Administrative,2023113,Pending,"The FTC charged Ring with compromising its customers’ privacy by allowing any employee or contractor to access consumers’ private videos and by failing to implement basic privacy and security protections, enabling hackers to take control of consumers’ accounts, cameras, and videos.",Consumer Protection; Bureau of Consumer Protection; Privacy and Security; Consumer Privacy; Data Security,,,
"X-Mode Social, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/2123038-x-mode-social-inc,2024-04-11,Administrative,2123038,Pending,"X-Mode Social and its successor Outlogic will be prohibited from sharing or selling any sensitive location data to settle FTC allegations that the company sold precise location data that could be used to track people’s visits to sensitive locations such as medical and reproductive health clinics, places of religious worship and domestic abuse shelters.",Consumer Protection; Bureau of Consumer Protection; Big Data; Online Advertising and Marketing; Privacy and Security; Consumer Privacy; Data Security,"In the Matter of X-Mode Social, Inc., a corporation, and Outlogic, LLC., a Limited Liability Company",,
"Rite Aid Corporation, FTC v.",https://www.ftc.gov/legal-library/browse/cases-proceedings/2023190-rite-aid-corporation-ftc-v,2024-03-08,Federal,2023190,Pending,"Rite Aid is prohibited from using facial recognition technology for security or surveillance purposes for five years to settle Federal Trade Commission charges that the retailer failed to implement reasonable procedures and prevent harm to consumers in its use of facial recognition technology in hundreds of stores. The proposed order requires Rite Aid to implement comprehensive safeguards to prevent these types of harm to consumers when deploying automated systems that use biometric information to track them or flag them as security risks. It also requires Rite Aid to discontinue using any such technology if it cannot control potential risks to consumers. To settle charges it violated a 2010 Commission data security order by failing to adequately oversee its service providers, Rite Aid is also required to implement a robust information security program, which must be overseen by the company’s top executives.",Consumer Protection; Bureau of Consumer Protection; Retail; Technology; Privacy and Security; Consumer Privacy; Tech; Artificial Intelligence,"FEDERAL TRADE COMMISSION, Plaintiff, v. RITE AID CORPORATION, a corporation, and RITE AID HDQTRS. CORP., a corporation, Defendants.",,
Global Tel Link Corporation,https://www.ftc.gov/legal-library/browse/cases-proceedings/2123012-global-tel-link-corporation,2024-02-23,Administrative,2123012,Pending,The FTC alleged that Global Tel*Link Corp. and two of its subsidiaries failed to secure sensitive data of hundreds of thousands of users stored in a cloud environment and failed to alert all those affected by the incident.,Consumer Protection; Bureau of Consumer Protection; Telecommunications; Privacy and Security; Data Security,"In the Matter of Global Tel Link Corporation, a Corporation, also d/b/a GTL, also d/b/a ViaPath Technologies; Telmate, LLC, a Limited Liability Company, also d/b/a ViaPath Technologies; and TouchPay Holdings, LLC, a Limited Liability Company, also d/b/a GTL Financial Services.",,
"CafePress, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/1923209-cafepress-matter,2024-01-10,Administrative,1923209,Pending,"The FTC alleged that CafePress failed to implement reasonable security measures to protect sensitive information stored on its network, including plain text Social Security numbers, inadequately encrypted passwords, and answers to password reset questions. The Commission’s proposed order requires the company to bolster its data security and requires its former owner to pay a half million dollars to compensate small businesses. The FTC is sending payments totaling more than $370,000 to consumers who were harmed by the data security failures of online merchandise platform CafePress.",Consumer Protection; Bureau of Consumer Protection; Privacy and Security; Data Security; Privacy Shield; Data Privacy Framework,"In the Matter of Residual Pumpkin Entity, LLC, a limited liability company, formerly d/b/a CafePress; and PlanetArt LLC, a limited liability company, d/b/a CafePress",Privacy Shield,370000.0
"Epic Games, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/1923203-epic-games-matter,2024-01-10,Administrative,1923203,Pending,,Consumer Protection; Bureau of Consumer Protection; Children's Online Privacy Protection Act (COPPA); Entertainment; Privacy and Security; Children's Privacy; Gaming,"In the Matter of Epic Games, Inc., a corporation",COPPA,
"TransUnion Rental Screening Solutions, Inc. and Trans Union, LLC., FTC and CFPB v.",https://www.ftc.gov/legal-library/browse/cases-proceedings/182-3204-transunion-rental-screening-solutions-inc-trans-union-llc-ftc-cfpb-v,2023-10-20,Federal,1823204,Pending,,Consumer Protection; Bureau of Consumer Protection; Fair Credit Reporting Act (FCRA); Privacy and Security; Credit Reporting,"FEDERAL TRADE COMMISSION and CONSUMER FINANCIAL PROTECTION BUREAU, Plaintiffs, v. TRANSUNION RENTAL SCREENING SOLUTIONS, INC., a Delaware corporation, and TRANS UNION LLC, a Delaware limited liability company, Defendants.",FCRA,
"TruthFinder, LLC, FTC v.",https://www.ftc.gov/legal-library/browse/cases-proceedings/truthfinder-llc-ftc-v,2023-10-11,Federal,,Pending,The FTC will require background report providers TruthFinder and Instant Checkmate to pay $5.8 million to settle charges that they deceived consumers about whether consumers had criminal records and that the companies violated the Fair Credit Reporting Act (FCRA) by operating as consumer reporting agencies.,"Consumer Protection; Bureau of Consumer Protection; deceptive/misleading conduct; Fair Credit Reporting Act (FCRA); Endorsements, Influencers, and Reviews; Privacy and Security; Credit Reporting","FEDERAL TRADE COMMISSION, Plaintiff, v. INSTANT CHECKMATE, LLC, a limited liability company, TRUTHFINDER, LLC, a limited liability company, THE CONTROL GROUP MEDIA COMPANY, LLC, a corporation, INTELICARE DIRECT, LLC, a limited liability company, and PUBREC, LLC, a limited liability company, Defendants.",FCRA,5800000.0
"Edmodo, LLC, U.S. v.",https://www.ftc.gov/legal-library/browse/cases-proceedings/202-3129-edmodo-llc-us-v,2023-08-28,Federal,2023129,Pending,"The FTC obtained an order against education technology provider Edmodo for collecting personal data from children without obtaining their parent’s consent and using that data for advertising, in violation of the Children’s Online Privacy Protection Act Rule (COPPA Rule), and for unlawfully outsourcing its COPPA compliance responsibilities to schools.",Consumer Protection; Bureau of Consumer Protection; Children's Online Privacy Protection Act (COPPA); Privacy and Security; Children's Privacy,"United States of America, Plaintiff v. Edmodo, LLC, a limited liability company, Defendant.",COPPA,
"Amazon.com (Alexa), U.S. v.",https://www.ftc.gov/legal-library/browse/cases-proceedings/192-3128-amazoncom-alexa-us-v,2023-07-21,Federal,1923128,Pending,The FTC will require Amazon to overhaul its deletion practices and implement stringent privacy safeguards to settle charges the company violated the Children’s Online Privacy Protection Act Rule (COPPA Rule) and deceived parents and users of the Alexa voice assistant service about its data deletion practices.,Consumer Protection; Bureau of Consumer Protection; Children's Online Privacy Protection Act (COPPA); Privacy and Security; Children's Privacy; Consumer Privacy; Artificial Intelligence,"United States of America, Plaintiff v. AMAZON.COM, INC., a corporation, and AMAZON.COM SERVICES LLC, a limited liability company, Defendants.",COPPA,
"Easy Healthcare Corporation, U.S. v.",https://www.ftc.gov/legal-library/browse/cases-proceedings/202-3186-easy-healthcare-corporation-us-v,2023-06-26,Federal,2023186,Pending,"The FTC reached a settlement with the developer of the fertility app Premom over allegations it deceived users by sharing their sensitive personal information with third parties, including two China-based firms, disclosed users’ sensitive health data to AppsFlyer and Google, and failed to notify consumers of these unauthorized disclosures in violation of the Health Breach Notification Rule (HBNR).",Consumer Protection; Bureau of Consumer Protection; Health Care; Technology; Software and Databases; Mobile; Privacy and Security; Health Privacy,"United States of America, Plaintiff v. Easy Healthcare Corporation, a corporation doing business as Easy Healthcare, Defendant.",Health Breach Notification Rule,
"Microsoft Corporation, U.S. v.",https://www.ftc.gov/legal-library/browse/cases-proceedings/1923258-microsoft-corporation-us-v,2023-06-09,Federal,1923258,Closed,"Microsoft will pay $20 million to settle FTC charges that it violated COPPA by collecting personal information from children who signed up to its Xbox gaming system without notifying their parents or obtaining their parents’ consent, and by illegally retaining children’s personal information.",Consumer Protection; Children's Online Privacy Protection Act (COPPA); Entertainment; Privacy and Security; Children's Privacy,"United States of America, Plaintiff v. Microsoft Corporation, a corporation, Defendant",COPPA,20000000.0
